"","itens"
"9942","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ANLODIPINO,BESILATO"
"9943",""
"9944","2,5MG/ML,SOLUCAO ORAL,20ML - MANIPULADOÄ"
"9945","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) APALUTAMIDA 60 MG"
"9946","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) APOMORF+TADAL+L-ARGI+OCIT,"
"9947",""
"9948","SPRAY ORAL, 20 ML - MANIPULADO"
"9949","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ARGININA 100 MG-MANIPULADO"
"9950","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ARIPIPRAZOL 10MG - KAVIUM"
"9951","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ARIPIPRAZOL 15 MG,"
"9952",""
"9953","COMPRIMIDO - ARISTAB"
"9954","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ARIPIPRAZOL 20MG - ARISTAB"
"9955","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ARIPIPRAZOL 20MG/ML,"
"9956",""
"9957","SUSPENSAO GOTAS, 30ML"
"9958","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ARIPIPRAZOL 30MG  - ARISTAB"
"9959","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ASCÎRBICO, AC. 1500MG-"
"9960",""
"9961","MANIPULADO"
"9962","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ASCORBATO DE MG 1 G-"
"9963",""
"9964","MANIPULADO"
"9965","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ATALURENO 1000MG,"
"9966",""
"9967","GRANULADO P/ SUSP. ORAL,- TRANSLARNA"
"9968","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ATALURENO 125MG,"
"9969",""
"9970","GRANULADO P/ SUSP. ORAL - TRANSLARNA"
"9971","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ATALURENO 250MG,"
"9972",""
"9973","GRANULADO P/ SUSP. ORAL - TRANSLARNA"
"9974","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ATENOLOL 50 MG +"
"9975",""
"9976","CLORTALIDONA 12,5 MG - ABLOK PLUS"
"9977","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ATEZOLIZUMABE 1200MG"
"9978",""
"9979","(60MG/ML), 20ML"
"9980","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ATEZOLIZUMABE 840 MG (60"
"9981",""
"9982","MG/ML), 14 ML"
"9983","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ATOMOXETINA, CLORIDRATO"
"9984",""
"9985","40MG"
"9986","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) AVELUMABE 20MG/ML"
"9987","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) AXITINIB 5 MG, COMPRIMIDO"
"9988",""
"9989","REVESTIDO"
"9990","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) AZELAICO, ACIDO 150MG/G, GEL,"
"9991",""
"9992","BISNAGA 15G"
"9993","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BACOPA MONNIERI 225 MG -"
"9994",""
"9995","COGNITUS"
"9996","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BAMBUTEROL, CLORIDRATO"
"9997",""
"9998","1MG/ML, SOL. ORAL, FRASCO 120ML"
"9999","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BECLOMETASONA 100 MCG +"
"10000",""
"10001","FORMOTEROL 6 MCG, PÎ PARA INALAÇÃO"
"10002","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BENDAMUSTINA, CLORIDRATO"
"10003",""
"10004","100MG, PÎ LIOFILIZADO"
"10005","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BENDAMUSTINA, CLORIDRATO"
"10006",""
"10007","25MG, PÎ LIOFILIZADO"
"10008","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BENRALIZUMABE 30 MG/ML,"
"10009",""
"10010","SOLUCAO INJETAVEL"
"10011","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BENZOATO DE SODIO"
"10012",""
"10013","250MG/ML, SOLUCAO ORAL, 100ML-MANIPULADO"
"10014","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BETA-"
"10015",""
"10016","ALANINA+TCM+ASSOCIACÏES CONF. RECEITA (AF) - MANIPULADO"
"10017","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BETAINA ANIDRA EM PO 3,5 G  -"
"10018",""
"10019","MANIPULADO"
"10020","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)"
"10021",""
"10022","BETAINA+ZINCO+MANGANÕS+COMPL. B+SUC.MG+SUC.CALCIO-MANIPULADO"
"10023","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BETANECOL 5MG-MANIPULADO"
"10024","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BIMATOPROSTA 0,3"
"10025",""
"10026","MG/ML,SOLUCAO OFTALMICA,FRASCO 3ML-LUMIGAN"
"10027","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BIOTINA 20 MG, SACHE -"
"10028",""
"10029","MANIPULADO"
"10030","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BIOTINA 20 MG/ML -"
"10031",""
"10032","MANIPULADO"
"10033","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BISOPROLOL, FUMARATO 10 MG,"
"10034",""
"10035","COMPRIMIDO - CONCOR"
"10036","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BISOPROLOL, FUMARATO 2,5 MG,"
"10037",""
"10038","COMPRIMIDO - CONCOR"
"10039","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BLINATUMOMAB 38,5 MCG,PÎ"
"10040",""
"10041","LIOFILIZADO"
"10042","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BORO+VIT. B2+SELENIO+NA"
"10043",""
"10044","CISTEINA+GLICOSAMINA-MANIPULADO"
"10045","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BRIMONIDINA, TART. 0,2%, SOL."
"10046",""
"10047","OFTALMICA, 5ML - ALPHAGAN"
"10048","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BRINZOLAMIDA 10MG +"
"10049",""
"10050","BRIMONIDINA 2MG, SUSP. OFTALMICA, 5ML"
"10051","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BROMAZEPAM 6MG,"
"10052",""
"10053","COMPRIMIDO - SOMALIUM"
"10054","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BUPRENORFINA, CLORIDRATO"
"10055",""
"10056","10 MG, UNIDADE: ADESIVO"
"10057","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BUPRENORFINA, CLORIDRATO"
"10058",""
"10059","20 MG, UNIDADE: ADESIVO"
"10060","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BUPROPIONA 100MG, CAPSULA-"
"10061",""
"10062","MANIPULADO"
"10063","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BUROSUMABE 20MG, SOLUCAO"
"10064",""
"10065","INJETAVEL"
"10066","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) BUTENAFINA, CLORIDRATO"
"10067",""
"10068","10MG/G CREME 20G"
"10069","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CA 300MG + MG 300MG +"
"10070",""
"10071","MG(OH)2. 1500MG, SOL. ORAL-MANIPULADO"
"10072","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CABOZANTINIBE, LEVOMALATO"
"10073",""
"10074","DE, 60MG"
"10075","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CALCIO 625MG+VIT. D"
"10076",""
"10077","750UI+VIT. E 100UI, CAPSULA-MANIPULADO"
"10078","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CALCIO CITRATO MALATO, VIT."
"10079",""
"10080","D3, VIT K2 , MAGNESIO - FIXARE"
"10081","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CALCIO, CARBONATO 625"
"10082",""
"10083","MG+VITAMINA D3 750 UI-MANIPULADO"
"10084","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CALCIO, CARBONATO 625 MGÄ+"
"10085",""
"10086","VITAMINA D3 1.000 UIÄ- MANIPULADO"
"10087","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD) 1000MG,"
"10088",""
"10089","BLUE LABEL, FRASCO LIQUIDO - RSHO"
"10090","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD) 1000MG,"
"10091",""
"10092","GOLD LABEL, FRASCO 120ML - RSHO"
"10093","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD)"
"10094",""
"10095","1000MG,30ML - REVIVID"
"10096","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD) 100MG/ML -"
"10097",""
"10098","EPIDIOLEX"
"10099","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD) 20 - 25%"
"10100",""
"10101","GOLD, TUBO 10 G - RSHO"
"10102","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD) 20 - 25%,"
"10103",""
"10104","TUBO 10 G - RSHO."
"10105","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD) 2400MG"
"10106",""
"10107","SHOT, 10ML - USAHEMP"
"10108","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD) 5000MG, THC"
"10109",""
"10110","FREE, FR 236ML - RSHO-X"
"10111","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD) 6000MG,"
"10112",""
"10113","120ML - ISODIOLEX"
"10114","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD) 6000MG,"
"10115",""
"10116","30ML - PURODIOL ENHANCED OILS"
"10117","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL (CBD)"
"10118",""
"10119","EXTRASTRENGTH, 900MG, FR 30ML - AUNT ZELDAS"
"10120","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL 200MG/ML, 30 ML"
"10121","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANABIDIOL/THC 500MG (22:1)"
"10122",""
"10123","30ML - REVIVID"
"10124","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CANETA DE EPINEFRINA AUTO"
"10125",""
"10126","INJETORA 0,15 MG"
"10127","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CARBOXIMALTOSE FÔRRICA"
"10128",""
"10129","50MG/ML,SOLUCAO INJETAVEL,AMPOLA 10ML"
"10130","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CARFILZOMIBE 60MG, PÎ"
"10131",""
"10132","LIOFILIZADO P/ SOLUCAO INJETAVEL"
"10133","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CÇLCIO, CARBONATO 625MG+"
"10134",""
"10135","VITAMINA D 500UI+ VITAMINA E 100UI"
"10136","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CEFUROXIMA, AXETIL 250 MG,"
"10137",""
"10138","COMPRIMIDO REVESTIDO"
"10139","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CEMIPLIMABE 350MG SOL DIL"
"10140",""
"10141","7ML"
"10142","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CHENODIOL 250 MG"
"10143","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)"
"10144",""
"10145","CIAN.+LIS.+LEVOCAR.+PIRID.+NICOT.+TIAM.+RIBOV.-CARNABOL KIDS"
"10146","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CICLOBENZAPRINA,"
"10147",""
"10148","CLORIDRATO 15 MG, LIBERAÇÃO PROLONGADA"
"10149","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CICLOSPORINA 1%, SOL."
"10150",""
"10151","OFTALM. ESTÔRIL, FR 10ML - MANIPULADO"
"10152","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CICLOSPORINA 100 -"
"10153",""
"10154","SANDIMMUN NEORAL"
"10155","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CICLOSPORINA 50  -"
"10156",""
"10157","SANDIMMUN NEORAL"
"10158","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CITALOPRAM 20 MG,"
"10159",""
"10160","COMPRIMIDO REVESTIDO - PROCIMAX"
"10161","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CITALOPRAM 40 MG,"
"10162",""
"10163","COMPRIMIDO REVESTIDO -ÄPROCIMAX"
"10164","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CITALOPRAN 20 MG - ALCYTAM"
"10165","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CLEMASTINA, FUMARATO 1 MG +"
"10166",""
"10167","DEXAMETASONA 0,5 MG"
"10168","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CLOBAZAM 20MG - FRISIUM"
"10169",""
"10170","20MG (PORT. 344-B1)"
"10171","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CLOPERASTINA, FENDIZOATO"
"10172",""
"10173","3,54 MG/ML, XAROPE, 60 ML"
"10174","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CLOXAZOLAM 2MG -"
"10175",""
"10176","MANIPULADO"
"10177","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COBIMETINIBE, HEMIFUMARATO"
"10178",""
"10179","20MG"
"10180","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COD. 30MG+ MELOX. 15MG+"
"10181",""
"10182","CICLOB. 5MG+ DEFLAZ. 3MG-MANIPULADO"
"10183","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)"
"10184",""
"10185","CODEIN.40MG+TENOXIC.10MG+TRAMAD.15MG+FAMOTID.60MG-MANIPULADO"
"10186","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)"
"10187",""
"10188","CODEINA55MG+PIROXICAN20MG+TRIANCIN.3MG+CICLO.10MG-MANIPULADO"
"10189","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COENZIMA Q10 100MG,"
"10190",""
"10191","INJETAVEL - MANIPULADO"
"10192","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COENZIMA Q10 2.000 MG-"
"10193",""
"10194","MANIPULADO"
"10195","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COENZIMA Q10 300 MG-"
"10196",""
"10197","MANIPULADO"
"10198","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COENZIMA Q10 70 MG -"
"10199",""
"10200","ÄMANIPULADO"
"10201","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLAGENASE 0,6UI +"
"10202",""
"10203","CLORANFENICOL 0,01G, POMADA, 50G"
"10204","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLAGENO HIDROLIZADO TIPO 2"
"10205",""
"10206","10MG, MANIPULADO"
"10207","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLAGENO NAO HIDROL. TIPO"
"10208",""
"10209","II+COLAGENO HIDROL.+MSM+VIT.+MG"
"10210","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLAGENO NAO HIDROLISADO"
"10211",""
"10212","TIPO II (UC-II) 40MG - CONDRES"
"10213","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLAGENO NAO HIDROLISADO"
"10214",""
"10215","TIPO II 40 MG+OMEGA 3+VIT. D 200 UI"
"10216","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLÇGENO + VITAMINAS A, C, E +"
"10217",""
"10218","ZINCO + MANGANÔS, SACHÔ 12G"
"10219","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLCHICINA 0,5MG - COLCHIS"
"10220","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLECALCIFEROL 10.000+"
"10221",""
"10222","RETINOL 50.000, 10 ML"
"10223","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLECALCIFEROL 1000 UI -"
"10224",""
"10225","ADDERA D3"
"10226","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLECALCIFEROL 14.000 UI/ML,"
"10227",""
"10228","SOLUCAO ORAL, 10 ML"
"10229","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLECALCIFEROL 3.300 UI/ML,"
"10230",""
"10231","FRASCO 10ML - ADDERA D3"
"10232","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) COLECALCIFEROL 50.000UI"
"10233","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) CONDROITINA, SULFATO 1,2 G-"
"10234",""
"10235","MANIPULADO"
"10236","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)COQ10+ASHWAGANDHA+ASSOCIACÏES  MANIPULADO"
"10237","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DABRAFENIBE 75MG"
"10238","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DABRAFENIBE, MESILATO 50 MG"
"10239","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DAPAGLIFLOZINA 5 MG,COMPRIMIDO REVESTIDO"
"10240","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DAPAGLIFLOZINA10MG +METFORMINA 1000MG, LIB. PROLONGADA"
"10241","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450)DAPAGLIFLOZINA5MG+METFORMINA1000MG,LIB.PROLONG."
"10242","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DARATUMUMABE 100MG,SOLUCAO INJETAVEL"
"10243","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DARATUMUMABE 400 MG -DALINVI"
"10244","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DEFLAZACORTE 22MG"
"10245","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DENOSUMABE 120MG, SOLUCAOINJETAVEL, 1,7 ML"
"10246","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DESVENLAFAXINA, SUCCINATOMONOIDRATADO 100 MG - ELIFORE"
"10247","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DESVENLAFAXINA, SUCCINATOMONOIDRATADO 100MG - DESVE"
"10248","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DEXLANSOPRASOL 60MG,CAPSULA LIB. RETARDADA"
"10249","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DEXLANSOPRAZOL 30 MG"
"10250","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DIACEREINA 100 MG, CAPSULA"
"10251","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DICLOFENACO 35MG, CAPSULA"
"10252","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DICLOFENACO DIETILAMONIO11,6 MG/G, AEROSOL, 85 ML"
"10253","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DICLOFENACO DIETILAMONIOCREME"
"10254","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DICLOFENACO POTASSICO50MG,CP DISPERSIVEL"
"10255","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DILTIAZEM, CLORIDRATO 60MG -CARDIZEM"
"10256","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DIMENIDRINATO 2,5MG/ML,SOLUCAO ORAL, 120ML"
"10257","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DIMETILA, FUMARATO 120 MG,CAPSULA DE LIBERAÇÃO RETARDADA"
"10258","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DIOSMINA 450 MG +HESPERIDINA 50 MG, COMPRIMIDO - PERIVASC"
"10259","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DIOSMINA 900MG +HESPERIDINA 100MG COMPRIMIDO"
"10260","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DIPROPIONATO,BETAMETASONA 0,5MG,CREME,BISNAGA 30G"
"10261","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DONEPEZIL,CLORID.10MG+MEMANTINA,CLORID. 20MG,COMP.REVESTIDO"
"10262","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DOXAZOSINA, MESILATO 2 MG,COMPRIMIDO - UNOPROST"
"10263","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DOXEPINA 100 MG-MANIPULADO"
"10264","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DULAGLUTIDA 1,5MG/0,5ML,SOL. INJETAVEL, CANETA 0,5ML"
"10265","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DUPILUMABE 200 MG (175MG/ML), SOLUCAO INJETAVEL, 1,14 ML"
"10266","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DUPILUMABE 300 MG  (150MG/ML), SOLUCAO INJETAVEL, 2 ML"
"10267","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DURVALUMABE 120MG/2,4ML"
"10268",""
"10269","(50MG/ML), SOL. INJ. 2,4ML"
"10270","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DURVALUMABE 500MG/10ML"
"10271",""
"10272","(50MG/ML), SOL. INJ.10ML"
"10273","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) DUTASTERIDA 0,5MG +"
"10274",""
"10275","TANSULOSINA 0,4MG - COMBODART"
"10276","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) EDOXABANA 30 MG"
"10277","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) EDOXABANA 60 MG"
"10278","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ELEXA+TEZA+IVA."
"10279",""
"10280","(100,50,75MG) + IVACAFTOR(150MG) - TRIKAFTA"
"10281","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) EMICIZUMABE 30MG/ML,"
"10282",""
"10283","SOLUCAO INJETAVEL, 1ML"
"10284","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) EMPAGLIFLOZINA 10 MG +"
"10285",""
"10286","LINAGLIPTINA 5 MG"
"10287","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) EMPAGLIFLOZINA 10MG"
"10288","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) EMPAGLIFLOZINA 25 MG"
"10289","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) EMPAGLIFLOZINA 25MG +"
"10290",""
"10291","LINAGLIPTINA 5MG"
"10292","MEDICAMENTOS AÇÃO JUDICIAL(EXCLUSIVO DIAF.ALMOX.450) ENOXAPARINA"
"10293",""
"10294","20MG,SOL.INJET.SERI.PREENCH.C/DISPOSIT.SEGURANÇA"
